[22:59:56] Latest: P3=0.594 | AVO=0.679
[23:36:56] Latest: P3=0.636 | AVO=0.638
[23:37:56] Latest: P3=0.636 | AVO=0.681
[23:38:56] Latest: P3=0.636 | AVO=0.645
[23:39:56] Latest: P3=0.636 | AVO=0.635
[23:40:56] Latest: P3=0.636 | AVO=0.641
[23:41:56] Latest: P3=0.636 | AVO=0.645
[23:42:56] Latest: P3=0.636 | AVO=0.625
[23:43:56] Latest: P3=0.636 | AVO=0.651
[23:44:56] Latest: P3=0.636 | AVO=0.645
[23:45:56] Latest: P3=0.636 | AVO=0.635
[23:46:56] Latest: P3=0.606 | AVO=0.628
[23:47:56] Latest: P3=0.382 | AVO=0.686
[23:48:56] Latest: P3=0.441 | AVO=0.703
[23:49:56] Latest: P3=0.324 | AVO=0.703
[23:50:56] Latest: P3=0.441 | AVO=0.703
[23:51:56] Latest: P3=0.353 | AVO=0.710
[23:52:56] Latest: P3=0.412 | AVO=0.700
[23:53:56] Latest: P3=0.382 | AVO=0.703
[23:54:56] Latest: P3=0.412 | AVO=0.700
[23:55:56] Latest: P3=0.382 | AVO=0.670
[23:56:56] Latest: P3=0.706 | AVO=0.657
[23:57:56] Latest: P3=0.706 | AVO=0.670
[23:58:56] Latest: P3=0.706 | AVO=0.667
[23:59:56] Latest: P3=0.706 | AVO=0.667
[00:00:56] Latest: P3=0.647 | AVO=0.700
[00:01:56] Latest: P3=0.647 | AVO=0.713
[00:02:56] Latest: P3=0.735 | AVO=0.670
[00:03:56] Latest: P3=0.647 | AVO=0.653
[00:04:56] Latest: P3=0.424 | AVO=0.651
[00:05:56] Latest: P3=0.606 | AVO=0.664
[00:06:56] Latest: P3=0.576 | AVO=0.668
[00:07:56] Latest: P3=0.606 | AVO=0.697
[00:08:56] Latest: P3=0.576 | AVO=0.678
[00:09:56] Latest: P3=0.545 | AVO=0.671
[00:10:56] Latest: P3=0.576 | AVO=0.678
[00:11:56] Latest: P3=0.545 | AVO=0.684
[00:12:56] Latest: P3=0.576 | AVO=0.678
[00:13:56] Latest: P3=0.576 | AVO=0.674
[00:14:56] Latest: P3=0.667 | AVO=0.694
[00:15:56] Latest: P3=0.606 | AVO=0.688
[00:16:56] Latest: P3=0.636 | AVO=0.678
[00:17:56] Latest: P3=0.636 | AVO=0.694
[00:18:56] Latest: P3=0.667 | AVO=0.678
[00:19:56] Latest: P3=0.636 | AVO=0.684
[00:20:56] Latest: P3=0.545 | AVO=0.641
[00:21:56] Latest: P3=0.545 | AVO=0.664
[00:22:56] Latest: P3=0.545 | AVO=0.684
[00:23:56] Latest: P3=0.545 | AVO=0.671
[00:24:56] Latest: P3=0.545 | AVO=0.668
[00:25:57] Latest: P3=0.545 | AVO=0.678
[00:26:57] Latest: P3=0.576 | AVO=0.688
[00:27:57] Latest: P3=0.576 | AVO=0.681
[00:28:57] Latest: P3=0.576 | AVO=0.651
[00:29:57] Latest: P3=0.531 | AVO=0.682
[00:30:57] Latest: P3=0.406 | AVO=0.685
[00:31:57] Latest: P3=0.438 | AVO=0.682
[00:32:57] Latest: P3=0.406 | AVO=0.659
[00:33:57] Latest: P3=0.406 | AVO=0.689
[00:34:57] Latest: P3=0.469 | AVO=0.672
[00:35:57] Latest: P3=0.469 | AVO=0.685
[00:36:57] Latest: P3=0.500 | AVO=0.682
[00:37:57] Latest: P3=0.562 | AVO=0.630
[00:38:57] Latest: P3=0.531 | AVO=0.705
[00:39:57] Latest: P3=0.562 | AVO=0.721
[00:40:57] Latest: P3=0.469 | AVO=0.715
[00:41:57] Latest: P3=0.562 | AVO=0.708
[00:42:57] Latest: P3=0.500 | AVO=0.721
[00:43:57] Latest: P3=0.531 | AVO=0.708
[00:44:57] Latest: P3=0.562 | AVO=0.702
[00:45:57] Latest: P3=0.531 | AVO=0.721
[00:46:57] Latest: P3=0.438 | AVO=0.695
[00:47:57] Latest: P3=0.562 | AVO=0.695
[00:48:57] Latest: P3=0.562 | AVO=0.672
[00:49:57] Latest: P3=0.531 | AVO=0.721
[00:50:57] Latest: P3=0.531 | AVO=0.669
[00:51:57] Latest: P3=0.531 | AVO=0.682
[00:52:57] Latest: P3=0.469 | AVO=0.698
[00:53:57] Latest: P3=0.438 | AVO=0.695
[00:54:57] Latest: P3=0.438 | AVO=0.679
[00:55:57] Latest: P3=0.438 | AVO=0.698
[00:56:57] Latest: P3=0.636 | AVO=0.704
[00:57:57] Latest: P3=0.667 | AVO=0.720
[00:58:57] Latest: P3=0.606 | AVO=0.704
[00:59:57] Latest: P3=0.606 | AVO=0.661
[01:00:57] Latest: P3=0.606 | AVO=0.704
[01:01:57] Latest: P3=0.576 | AVO=0.661
[01:02:57] Latest: P3=0.545 | AVO=0.671
[01:03:57] Latest: P3=0.515 | AVO=0.714
[01:04:57] Latest: P3=0.576 | AVO=0.697
[01:05:57] Latest: P3=0.500 | AVO=0.675
[01:06:57] Latest: P3=0.531 | AVO=0.695
[01:07:57] Latest: P3=0.469 | AVO=0.652
[01:08:57] Latest: P3=0.531 | AVO=0.685
[01:09:57] Latest: P3=0.500 | AVO=0.662
[01:10:57] Latest: P3=0.562 | AVO=0.689
[01:11:57] Latest: P3=0.531 | AVO=0.652
[01:12:57] Latest: P3=0.562 | AVO=0.679
[01:13:57] Latest: P3=0.531 | AVO=0.666
[01:14:57] Latest: P3=0.514 | AVO=0.662
[01:15:57] Latest: P3=0.571 | AVO=0.695
[01:16:57] Latest: P3=0.600 | AVO=0.639
[01:17:57] Latest: P3=0.571 | AVO=0.689
[01:18:57] Latest: P3=0.571 | AVO=0.689
[01:19:57] Latest: P3=0.600 | AVO=0.679
[01:20:57] Latest: P3=0.629 | AVO=0.699
[01:21:57] Latest: P3=0.543 | AVO=0.692
[01:22:57] Latest: P3=0.571 | AVO=0.702
[01:23:57] Latest: P3=0.364 | AVO=0.694
[01:24:57] Latest: P3=0.333 | AVO=0.671
[01:25:57] Latest: P3=0.545 | AVO=0.684
[01:26:57] Latest: P3=0.455 | AVO=0.694
[01:27:57] Latest: P3=0.364 | AVO=0.691
[01:28:57] Latest: P3=0.455 | AVO=0.697
[01:29:57] Latest: P3=0.485 | AVO=0.688
[01:30:57] Latest: P3=0.485 | AVO=0.711
[01:31:57] Latest: P3=0.515 | AVO=0.714
[01:32:57] Latest: P3=0.485 | AVO=0.691
[01:33:57] Latest: P3=0.515 | AVO=0.684
[01:34:57] Latest: P3=0.455 | AVO=0.704
[01:35:57] Latest: P3=0.455 | AVO=0.701
[01:36:57] Latest: P3=0.455 | AVO=0.691
[01:37:57] Latest: P3=0.424 | AVO=0.678
[01:38:57] Latest: P3=0.588 | AVO=0.686
[01:39:57] Latest: P3=0.529 | AVO=0.719
[01:40:57] Latest: P3=0.559 | AVO=0.752
[01:41:57] Latest: P3=0.441 | AVO=0.723
[01:42:57] Latest: P3=0.471 | AVO=0.703
[01:43:57] Latest: P3=0.471 | AVO=0.723
[01:44:57] Latest: P3=0.471 | AVO=0.683
[01:45:57] Latest: P3=0.441 | AVO=0.686
[01:46:57] Latest: P3=0.500 | AVO=0.690
[01:47:57] Latest: P3=0.625 | AVO=0.669
[01:48:57] Latest: P3=0.625 | AVO=0.669
[01:49:57] Latest: P3=0.719 | AVO=0.695
[01:50:57] Latest: P3=0.625 | AVO=0.685
[01:51:57] Latest: P3=0.625 | AVO=0.662
[01:52:57] Latest: P3=0.531 | AVO=0.672
[01:53:57] Latest: P3=0.656 | AVO=0.633
[01:54:57] Latest: P3=0.656 | AVO=0.652
[01:55:57] Latest: P3=0.688 | AVO=0.626
[01:56:57] Latest: P3=0.656 | AVO=0.659
[01:57:57] Latest: P3=0.594 | AVO=0.685
[01:58:57] Latest: P3=0.562 | AVO=0.679
[01:59:57] Latest: P3=0.500 | AVO=0.656
[02:00:57] Latest: P3=0.531 | AVO=0.633
[02:01:57] Latest: P3=0.531 | AVO=0.633
[02:02:57] Latest: P3=0.531 | AVO=0.623
[02:03:57] Latest: P3=0.500 | AVO=0.649
[02:04:57] Latest: P3=0.531 | AVO=0.669
[02:05:57] Latest: P3=0.562 | AVO=0.639
[02:06:57] Latest: P3=0.531 | AVO=0.649
[02:07:57] Latest: P3=0.531 | AVO=0.649
[02:08:57] Latest: P3=0.531 | AVO=0.656
[02:09:57] Latest: P3=0.562 | AVO=0.666
[02:10:57] Latest: P3=0.562 | AVO=0.652
[02:11:57] Latest: P3=0.562 | AVO=0.656
[02:12:57] Latest: P3=0.531 | AVO=0.633
[02:13:57] Latest: P3=0.531 | AVO=0.636
[02:14:57] Latest: P3=0.500 | AVO=0.656
[02:15:57] Latest: P3=0.531 | AVO=0.659
[02:16:57] Latest: P3=0.559 | AVO=0.736
[02:17:57] Latest: P3=0.618 | AVO=0.733
[02:18:57] Latest: P3=0.559 | AVO=0.719
[02:19:57] Latest: P3=0.588 | AVO=0.703
[02:20:57] Latest: P3=0.529 | AVO=0.710
[02:21:57] Latest: P3=0.588 | AVO=0.713
[02:22:57] Latest: P3=0.559 | AVO=0.746
[02:23:57] Latest: P3=0.529 | AVO=0.719
[02:24:57] Latest: P3=0.529 | AVO=0.739
[02:25:57] Latest: P3=0.618 | AVO=0.729
[02:26:57] Latest: P3=0.688 | AVO=0.656
[02:27:57] Latest: P3=0.719 | AVO=0.682
[02:28:57] Latest: P3=0.562 | AVO=0.666
[02:29:58] Latest: P3=0.531 | AVO=0.656
[02:30:58] Latest: P3=0.594 | AVO=0.643
[02:31:58] Latest: P3=0.562 | AVO=0.646
[02:32:58] Latest: P3=0.562 | AVO=0.639
[02:33:58] Latest: P3=0.531 | AVO=0.672
[02:34:58] Latest: P3=0.594 | AVO=0.652
[02:35:58] Latest: P3=0.743 | AVO=0.649
[02:36:58] Latest: P3=0.714 | AVO=0.646
[02:37:58] Latest: P3=0.686 | AVO=0.652
[02:38:58] Latest: P3=0.629 | AVO=0.649
[02:39:58] Latest: P3=0.571 | AVO=0.669
[02:40:58] Latest: P3=0.686 | AVO=0.672
[02:41:58] Latest: P3=0.629 | AVO=0.662
[02:42:58] Latest: P3=0.657 | AVO=0.649
[02:43:58] Latest: P3=0.686 | AVO=0.652
[02:44:58] Latest: P3=0.531 | AVO=0.698
[02:45:58] Latest: P3=0.562 | AVO=0.689
[02:46:58] Latest: P3=0.438 | AVO=0.695
[02:47:58] Latest: P3=0.438 | AVO=0.685
[02:48:58] Latest: P3=0.469 | AVO=0.708
[02:49:58] Latest: P3=0.438 | AVO=0.718
[02:50:58] Latest: P3=0.438 | AVO=0.698
[02:51:58] Latest: P3=0.469 | AVO=0.708
[02:52:58] Latest: P3=0.562 | AVO=0.698
[02:53:58] Latest: P3=0.727 | AVO=0.641
[02:54:58] Latest: P3=0.697 | AVO=0.678
[02:55:58] Latest: P3=0.636 | AVO=0.684
[02:56:58] Latest: P3=0.667 | AVO=0.678
[02:57:58] Latest: P3=0.727 | AVO=0.674
[02:58:58] Latest: P3=0.636 | AVO=0.678
[02:59:58] Latest: P3=0.636 | AVO=0.684
[03:00:58] Latest: P3=0.697 | AVO=0.688
[03:01:58] Latest: P3=0.667 | AVO=0.691
[03:02:58] Latest: P3=0.636 | AVO=0.678
[03:03:58] Latest: P3=0.667 | AVO=0.688
[03:04:58] Latest: P3=0.758 | AVO=0.678
[03:05:58] Latest: P3=0.697 | AVO=0.697
[03:06:58] Latest: P3=0.697 | AVO=0.651
[03:07:58] Latest: P3=0.667 | AVO=0.668
[03:08:58] Latest: P3=0.636 | AVO=0.678
[03:09:58] Latest: P3=0.606 | AVO=0.645
[03:10:58] Latest: P3=0.667 | AVO=0.641
[03:11:58] Latest: P3=0.636 | AVO=0.645
[03:12:58] Latest: P3=0.606 | AVO=0.658
[03:13:58] Latest: P3=0.636 | AVO=0.655
[03:14:58] Latest: P3=0.697 | AVO=0.681
